regiondescription,parentlocation,park,usetype,sitetype,campsitetype,campsiteid,campsitename,loop,campsiteaccessible,campsitelongitude,campsitelatitude,avgBookingWindow,avgLengthStay
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,465,D023,Loop D,FALSE,-112.985786,37.195873,81.969512195122,1.82317073170732
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,WALK TO,WALK TO,532,F010,Loop F,FALSE,-112.98563,37.198046,71.9615384615385,2
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,GROUP TENT ONLY AREA NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC,334,Group Site E004,Zion Group Sites,FALSE,-112.98674,37.195112,130.528735632184,2.4367816091954
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,GROUP TENT ONLY AREA NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC,335,Group Site E003,Zion Group Sites,FALSE,-112.987224,37.194918,141.813953488372,2.36046511627907
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,373,A011R,Loop A,FALSE,-112.988826,37.19773,102.428571428571,2.96938775510204
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,MANAGEMENT,MANAGEMENT,466,A016HC,Loop A,TRUE,-112.989204,37.196871,106.066176470588,2.21323529411765
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,349,D003,Loop D,FALSE,-112.986304,37.196943,99.3582089552239,1.93283582089552
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,WALK TO,WALK TO,519,F006,Loop F,FALSE,-112.985332,37.197756,78.5059523809524,1.88095238095238
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,348,B043,Loop B,FALSE,-112.989685,37.195641,112.152,2.144
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,452,B018a,Loop B,FALSE,-112.989359,37.194461,96.625,1.91666666666667
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,471,A021,Loop A,FALSE,-112.988322,37.197009,116.485981308411,2.38317757009346
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,500,A027,Loop A,FALSE,-112.987844,37.197434,116.22131147541,2.15573770491803
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,406,B029,Loop B,FALSE,-112.989108,37.195378,115.235772357724,2.17886178861789
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,355,C005,Loop C,FALSE,-112.987272,37.196862,99.5155279503106,1.80745341614907
