regiondescription,parentlocation,park,usetype,sitetype,campsitetype,campsiteid,campsitename,loop,campsiteaccessible,campsitelongitude,campsitelatitude,avgBookingWindow,avgLengthStay
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,379,B024,Loop B,FALSE,-112.988657,37.194943,117.241379310345,2.13793103448276
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,462,B002,Loop B,FALSE,-112.989805,37.196289,115.439024390244,2.17073170731707
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,428,D011,Loop D,TRUE,-112.986269,37.196124,88.4844720496895,1.72049689440994
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,396,B045,Loop B,FALSE,-112.989708,37.194986,108.042016806723,2.47058823529412
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,417,A007,Loop A,FALSE,-112.988542,37.197894,100.6875,2.46428571428571
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,414,D032,Loop D,FALSE,-112.985672,37.196504,107.206106870229,2.13740458015267
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,430,A024,Loop A,FALSE,-112.988444,37.197297,112.228070175439,2.30701754385965
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,354,B010,Loop B,FALSE,-112.989515,37.19506,98.3565891472868,2.14728682170543
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,350,D025,Loop D,FALSE,-112.985487,37.19599,81.2641509433962,1.84905660377359
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,426,C018,Loop C,FALSE,-112.986671,37.196171,100.697841726619,1.82014388489209
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,492,B061,Loop B,FALSE,-112.988651,37.194143,88.650406504065,2.13008130081301
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,WALK TO,WALK TO,522,F004,Loop F,FALSE,-112.985184,37.197553,90.2516556291391,1.96026490066225
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,482,B022,Loop B,FALSE,-112.988475,37.194604,115.585585585586,2.63963963963964
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,356,C007,Loop C,FALSE,-112.98735,37.196671,95.7212121212121,1.73939393939394
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,418,D006,Loop D,FALSE,-112.986144,37.196621,97.5277777777778,1.92361111111111
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,385,B034,Loop B,FALSE,-112.988837,37.195907,120.181818181818,2.48484848484849
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,422,B014,Loop B,FALSE,-112.989466,37.194805,129.469026548673,2.07079646017699
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,342,D015,Loop D,FALSE,-112.98633,37.195775,88.4864864864865,1.87837837837838
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,481,A012,Loop A,FALSE,-112.989018,37.197173,95.664,2.528
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,GROUP TENT ONLY AREA NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC,332,Group Site E002,Zion Group Sites,FALSE,-112.987818,37.19493,126.150442477876,2.09734513274336
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,345,B018c,Loop B,FALSE,-112.989299,37.194368,113.584615384615,2.07692307692308
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,340,B025,Loop B,FALSE,-112.988967,37.195057,129.26213592233,2.46601941747573
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,441,C023,Loop C,FALSE,-112.98686,37.196658,86.82,2.05333333333333
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,494,D026,Loop D,FALSE,-112.985722,37.196014,95.2575757575758,2.06818181818182
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,461,A013R,Loop A,FALSE,-112.989098,37.197433,102.485148514851,2.99009900990099
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,351,D010,Loop D,FALSE,-112.986457,37.196332,78.9797297297297,2.00675675675676
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,421,A020,Loop A,FALSE,-112.98859,37.197061,97.4965986394558,2.25170068027211
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,509,B035,Loop B,FALSE,-112.989102,37.195858,137.342342342342,2.4954954954955
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,392,A030,Loop A,FALSE,-112.987884,37.197714,128.47619047619,1.8968253968254
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,501,A028,Loop A,FALSE,-112.988042,37.197563,110.650684931507,2.06164383561644
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,346,B054R,Loop B,FALSE,-112.989793,37.194207,101.041666666667,2.95833333333333
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,473,B036,Loop B,FALSE,-112.988834,37.196132,119.724770642202,2.43119266055046
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,468,B048R,Loop B,FALSE,-112.989923,37.194871,94.0990990990991,2.6036036036036
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,412,B053c,Loop B,FALSE,-112.989586,37.194264,119.735042735043,2.28205128205128
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,375,B015,Loop B,FALSE,-112.989102,37.194558,113.596899224806,2.23255813953488
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,358,B032,Loop B,FALSE,-112.988877,37.195696,122.979797979798,2.35353535353535
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,472,B021,Loop B,FALSE,-112.988677,37.194465,109.803149606299,2.03149606299213
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,399,D009,Loop D,FALSE,-112.986417,37.196488,89.3658536585366,2.1869918699187
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,442,B053a,Loop B,FALSE,-112.989637,37.194326,109.148760330579,2.21487603305785
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,496,A025,Loop A,FALSE,-112.987942,37.1973,125.099099099099,2.27927927927928
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,381,D024,Loop D,FALSE,-112.985547,37.195841,116.654135338346,1.90225563909774
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,WALK TO,WALK TO,531,F018,Loop F,FALSE,-112.985577,37.1987,87.9470588235294,1.75882352941176
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,413,D002,Loop D,FALSE,-112.986075,37.196942,93.8581081081081,1.96621621621622
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,363,D018,Loop D,FALSE,-112.986159,37.195664,93.726618705036,2.0431654676259
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,423,C008,Loop C,FALSE,-112.98743,37.196521,97.5034965034965,1.74825174825175
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,MANAGEMENT,378,B018b,Loop B,FALSE,-112.989334,37.194426,109.927536231884,1.89855072463768
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,424,C014,Loop C,TRUE,-112.987491,37.196017,101.093525179856,1.92805755395683
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,343,A003,Loop A,FALSE,-112.988028,37.198021,111.93893129771,2.14503816793893
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,GROUP TENT ONLY AREA NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC,333,Group Site E001,Zion Group Sites,FALSE,-112.987421,37.194671,148.852631578947,2.16842105263158
