OrgID,RegionCode,RegionDescription,ParentLocationID,ParentLocation,FacilityID,FacilityZIP,LegacyFacilityID,Park,UseType,CampsiteID,CampsiteName,CampsiteType,TypeOfUse,Loop,CampsiteAccessible,CampsiteLongitude,CampsiteLatitude,avgBookingWindow
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,405,B004,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.98979,37.19616,81.1590909090909
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,497,B005,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989374,37.195952,82.4846153846154
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,365,B006,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989683,37.196022,89.8857142857143
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,353,B007,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989321,37.195737,92.0093457943925
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,505,B008,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989353,37.195504,82.1870967741936
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,443,B009,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989358,37.19529,91.3235294117647
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,354,B010,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989515,37.19506,73.9923076923077
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,376,B011,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989317,37.195168,71.472972972973
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,508,B012,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989264,37.194982,77.8275862068966
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,370,B013,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989184,37.194698,74.9305555555556
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,422,B014,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989466,37.194805,75.603305785124
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,375,B015,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989102,37.194558,85.9189189189189
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,387,B017,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.988967,37.19446,87.7421875
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,452,B018a,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989359,37.194461,91.6493506493507
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,378,B018b,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989334,37.194426,75.7411764705882
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,345,B018c,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989299,37.194368,82.9716312056738
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,486,B019,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.988509,37.194277,72.6027397260274
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,431,B020,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.988455,37.194454,77.0692307692308
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,472,B021,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.988677,37.194465,90.775
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,482,B022,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.988475,37.194604,66.4921875
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,374,B023,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.988767,37.194674,83.8550724637681
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,379,B024,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.988657,37.194943,71.4117647058824
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,340,B025,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.988967,37.195057,82.5112781954887
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,456,B026,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.988726,37.195052,90.2195121951219
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,357,B027,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989042,37.195197,93.018018018018
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,394,B028,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.988785,37.195219,90.0869565217391
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,406,B029,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989108,37.195378,85.0857142857143
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,434,B030,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.98887,37.195447,74.5205479452055
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,401,B031,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989143,37.195556,97.5130434782609
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,358,B032,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.988877,37.195696,93.1782945736434
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,388,B033,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989144,37.195695,83.7724137931035
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,385,B034,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.988837,37.195907,81.8728813559322
